mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Settembre 2021,2021-09-01,14.0,5.00026,3.15811,-5.97022,"14,0 €/m2","+ 5,0 %","+ 3,2 %","- 6,0 %"
Agosto 2021,2021-08-01,13.3333,-0.445012,-0.445012,-8.87326,"13,3 €/m2","- 0,4 %","- 0,4 %","- 8,9 %"
Luglio 2021,2021-07-01,13.3929,-1.31527,3.2606,-5.75349,"13,4 €/m2","- 1,3 %","+ 3,3 %","- 5,8 %"
Giugno 2021,2021-06-01,13.5714,1.3328,3.04471,-5.0001,"13,6 €/m2","+ 1,3 %","+ 3,0 %","- 5,0 %"
Maggio 2021,2021-05-01,13.3929,3.2606,3.21445,-6.24961,"13,4 €/m2","+ 3,3 %","+ 3,2 %","- 6,2 %"
Aprile 2021,2021-04-01,12.97,-1.52159,-0.0470095,-8.44727,"13,0 €/m2","- 1,5 %","0,0 %","- 8,4 %"
Marzo 2021,2021-03-01,13.1704,1.49971,-2.76272,-8.82003,"13,2 €/m2","+ 1,5 %","- 2,8 %","- 8,8 %"
Febbraio 2021,2021-02-01,12.9758,-0.00231194,-6.3322,-8.08778,"13,0 €/m2","0,0 %","- 6,3 %","- 8,1 %"
Gennaio 2021,2021-01-01,12.9761,-4.19724,-11.2163,,"13,0 €/m2","- 4,2 %","- 11,2 %",N/A
Dicembre 2020,2020-12-01,13.5446,-2.22623,-9.02887,6.67139,"13,5 €/m2","- 2,2 %","- 9,0 %","+ 6,7 %"
Novembre 2020,2020-11-01,13.853,-5.21642,-5.32136,-5.58657,"13,9 €/m2","- 5,2 %","- 5,3 %","- 5,6 %"
Ottobre 2020,2020-10-01,14.6154,-1.83694,2.8493,1.97028,"14,6 €/m2","- 1,8 %","+ 2,8 %","+ 2,0 %"
Settembre 2020,2020-09-01,14.8889,1.75852,4.2224,8.85131,"14,9 €/m2","+ 1,8 %","+ 4,2 %","+ 8,9 %"
Agosto 2020,2020-08-01,14.6316,2.9633,2.4213,5.67231,"14,6 €/m2","+ 3,0 %","+ 2,4 %","+ 5,7 %"
Luglio 2020,2020-07-01,14.2105,-0.526401,0.309176,1.46299,"14,2 €/m2","- 0,5 %","+ 0,3 %","+ 1,5 %"
Giugno 2020,2020-06-01,14.2857,,-1.0987,5.24466,"14,3 €/m2",N/A,"- 1,1 %","+ 5,2 %"
Maggio 2020,2020-05-01,14.2857,0.839998,1.19071,14.2856,"14,3 €/m2","+ 0,8 %","+ 1,2 %","+ 14,3 %"
Aprile 2020,2020-04-01,14.1667,-1.92254,,,"14,2 €/m2","- 1,9 %",N/A,N/A
Marzo 2020,2020-03-01,14.4444,2.31484,13.7578,,"14,4 €/m2","+ 2,3 %","+ 13,8 %",N/A
Febbraio 2020,2020-02-01,14.1176,,-3.78322,,"14,1 €/m2",N/A,"- 3,8 %",N/A
Gennaio 2020,2020-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2019,2019-12-01,12.6975,-13.4617,-7.1698,,"12,7 €/m2","- 13,5 %","- 7,2 %",N/A
Novembre 2019,2019-11-01,14.6727,2.37006,5.96915,,"14,7 €/m2","+ 2,4 %","+ 6,0 %",N/A
Ottobre 2019,2019-10-01,14.333,4.78718,2.33764,,"14,3 €/m2","+ 4,8 %","+ 2,3 %",N/A
Settembre 2019,2019-09-01,13.6782,-1.21333,0.769129,,"13,7 €/m2","- 1,2 %","+ 0,8 %",N/A
Agosto 2019,2019-08-01,13.8462,-1.13812,10.7696,15.385,"13,8 €/m2","- 1,1 %","+ 10,8 %","+ 15,4 %"
Luglio 2019,2019-07-01,14.0056,3.18113,,15.3398,"14,0 €/m2","+ 3,2 %",N/A,"+ 15,3 %"
Giugno 2019,2019-06-01,13.5738,8.5904,,8.36241,"13,6 €/m2","+ 8,6 %",N/A,"+ 8,4 %"
Maggio 2019,2019-05-01,12.5,,,-1.31605,"12,5 €/m2",N/A,N/A,"- 1,3 %"
Aprile 2019,2019-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2019,2019-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2019,2019-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2019,2019-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2018,2018-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2018,2018-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2018,2018-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2018,2018-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2018,2018-08-01,12.0,-1.17682,-5.26341,6.45187,"12,0 €/m2","- 1,2 %","- 5,3 %","+ 6,5 %"
Luglio 2018,2018-07-01,12.1429,-3.06076,-2.24289,8.41875,"12,1 €/m2","- 3,1 %","- 2,2 %","+ 8,4 %"
Giugno 2018,2018-06-01,12.5263,-1.10842,0.645187,25.263,"12,5 €/m2","- 1,1 %","+ 0,6 %","+ 25,3 %"
Maggio 2018,2018-05-01,12.6667,1.974,0.317584,26.667,"12,7 €/m2","+ 2,0 %","+ 0,3 %","+ 26,7 %"
Aprile 2018,2018-04-01,12.4215,-0.19685,3.5125,,"12,4 €/m2","- 0,2 %","+ 3,5 %",N/A
Marzo 2018,2018-03-01,12.446,-1.43031,7.86497,,"12,4 €/m2","- 1,4 %","+ 7,9 %",N/A
Febbraio 2018,2018-02-01,12.6266,5.22167,3.81839,,"12,6 €/m2","+ 5,2 %","+ 3,8 %",N/A
Gennaio 2018,2018-01-01,12.0,3.99965,,,"12,0 €/m2","+ 4,0 %",N/A,N/A
Dicembre 2017,2017-12-01,11.5385,-5.12818,1.81059,,"11,5 €/m2","- 5,1 %","+ 1,8 %",N/A
Novembre 2017,2017-11-01,12.1622,1.35167,7.89074,12.935,"12,2 €/m2","+ 1,4 %","+ 7,9 %","+ 12,9 %"
Ottobre 2017,2017-10-01,12.0,5.88266,7.14286,25.0,"12,0 €/m2","+ 5,9 %","+ 7,1 %","+ 25,0 %"
Settembre 2017,2017-09-01,11.3333,0.537582,13.333,8.33341,"11,3 €/m2","+ 0,5 %","+ 13,3 %","+ 8,3 %"
Agosto 2017,2017-08-01,11.2727,0.649107,12.727,5.68123,"11,3 €/m2","+ 0,6 %","+ 12,7 %","+ 5,7 %"
