mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Agosto 2020,2020-08-01,12.5,-8.33358,,4.16667,"12,5 €/m2","- 8,3 %",N/A,"+ 4,2 %"
Luglio 2020,2020-07-01,13.6364,-4.5451,,,"13,6 €/m2","- 4,5 %",N/A,N/A
Giugno 2020,2020-06-01,14.2857,,,,"14,3 €/m2",N/A,N/A,N/A
Maggio 2020,2020-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2020,2020-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2020,2020-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2020,2020-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2020,2020-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2019,2019-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2019,2019-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2019,2019-10-01,13.253,7.04305,,,"13,3 €/m2","+ 7,0 %",N/A,N/A
Settembre 2019,2019-09-01,12.381,3.175,,,"12,4 €/m2","+ 3,2 %",N/A,N/A
Agosto 2019,2019-08-01,12.0,,,,"12,0 €/m2",N/A,N/A,N/A
Luglio 2019,2019-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2019,2019-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2019,2019-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2019,2019-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2019,2019-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2019,2019-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2019,2019-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2018,2018-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2018,2018-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2018,2018-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2018,2018-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2018,2018-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2018,2018-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2018,2018-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2018,2018-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2018,2018-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2018,2018-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2018,2018-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2018,2018-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2017,2017-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2017,2017-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2017,2017-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2017,2017-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2017,2017-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2017,2017-07-01,10.0249,6.50715,,3.33361,"10,0 €/m2","+ 6,5 %",N/A,"+ 3,3 %"
Giugno 2017,2017-06-01,9.41242,,,-3.60779,"9,4 €/m2",N/A,N/A,"- 3,6 %"
Maggio 2017,2017-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2017,2017-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2017,2017-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2017,2017-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2017,2017-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2016,2016-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2016,2016-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2016,2016-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2016,2016-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2016,2016-08-01,10.0,3.07695,,7.69236,"10,0 €/m2","+ 3,1 %",N/A,"+ 7,7 %"
Luglio 2016,2016-07-01,9.70149,-0.647433,2.72171,1.35884,"9,7 €/m2","- 0,6 %","+ 2,7 %","+ 1,4 %"
Giugno 2016,2016-06-01,9.76471,,5.15846,,"9,8 €/m2",N/A,"+ 5,2 %",N/A
Maggio 2016,2016-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2016,2016-04-01,9.44444,1.7094,,,"9,4 €/m2","+ 1,7 %",N/A,N/A
Marzo 2016,2016-03-01,9.28571,,,,"9,3 €/m2",N/A,N/A,N/A
Febbraio 2016,2016-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2016,2016-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2015,2015-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2015,2015-11-01,8.88889,-3.7037,-4.27345,-3.7037,"8,9 €/m2","- 3,7 %","- 4,3 %","- 3,7 %"
Ottobre 2015,2015-10-01,9.23077,,-3.55913,,"9,2 €/m2",N/A,"- 3,6 %",N/A
Settembre 2015,2015-09-01,9.23077,-0.591662,,-5.59442,"9,2 €/m2","- 0,6 %",N/A,"- 5,6 %"
Agosto 2015,2015-08-01,9.28571,-2.98513,,-2.6498,"9,3 €/m2","- 3,0 %",N/A,"- 2,6 %"
Luglio 2015,2015-07-01,9.57143,,,1.3446,"9,6 €/m2",N/A,N/A,"+ 1,3 %"
Giugno 2015,2015-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2015,2015-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2015,2015-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2015,2015-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2015,2015-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2015,2015-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2014,2014-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2014,2014-11-01,9.23077,,-3.22578,-7.56363,"9,2 €/m2",N/A,"- 3,2 %","- 7,6 %"
Ottobre 2014,2014-10-01,9.23077,-5.59442,-2.26239,-7.4216,"9,2 €/m2","- 5,6 %","- 2,3 %","- 7,4 %"
Settembre 2014,2014-09-01,9.77778,2.509,4.76197,-0.0766457,"9,8 €/m2","+ 2,5 %","+ 4,8 %","- 0,1 %"
Agosto 2014,2014-08-01,9.53846,0.995506,,-2.47023,"9,5 €/m2","+ 1,0 %",N/A,"- 2,5 %"
Luglio 2014,2014-07-01,9.44444,1.19046,-2.77787,-5.5556,"9,4 €/m2","+ 1,2 %","- 2,8 %","- 5,6 %"
Giugno 2014,2014-06-01,9.33333,-2.15056,-2.15056,-5.08475,"9,3 €/m2","- 2,2 %","- 2,2 %","- 5,1 %"
Maggio 2014,2014-05-01,9.53846,-1.81001,,0.995506,"9,5 €/m2","- 1,8 %",N/A,"+ 1,0 %"
Aprile 2014,2014-04-01,9.71429,1.84338,1.84338,2.85724,"9,7 €/m2","+ 1,8 %","+ 1,8 %","+ 2,9 %"
Marzo 2014,2014-03-01,9.53846,,-0.344463,1.34608,"9,5 €/m2",N/A,"- 0,3 %","+ 1,3 %"
Febbraio 2014,2014-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2014,2014-01-01,9.53846,-0.344463,-4.33568,1.34608,"9,5 €/m2","- 0,3 %","- 4,3 %","+ 1,3 %"
Dicembre 2013,2013-12-01,9.57143,-4.15228,-2.18543,1.3446,"9,6 €/m2","- 4,2 %","- 2,2 %","+ 1,3 %"
Novembre 2013,2013-11-01,9.98608,0.153649,2.10664,-0.1392,"10,0 €/m2","+ 0,2 %","+ 2,1 %","- 0,1 %"
Ottobre 2013,2013-10-01,9.97076,1.8955,-0.2924,-0.2924,"10,0 €/m2","+ 1,9 %","- 0,3 %","- 0,3 %"
Settembre 2013,2013-09-01,9.78528,0.0534762,-0.488644,,"9,8 €/m2","+ 0,1 %","- 0,5 %",N/A
Agosto 2013,2013-08-01,9.78005,-2.1995,3.55352,,"9,8 €/m2","- 2,2 %","+ 3,6 %",N/A
Luglio 2013,2013-07-01,10.0,1.69495,5.8824,,"10,0 €/m2","+ 1,7 %","+ 5,9 %",N/A
Giugno 2013,2013-06-01,9.83333,4.11766,4.47907,,"9,8 €/m2","+ 4,1 %","+ 4,5 %",N/A
Maggio 2013,2013-05-01,9.44444,,,,"9,4 €/m2",N/A,N/A,N/A
