cod. reg.,regione,cod. prov.,provincia,comune,cod. istat,flag,arrivi totale esercizi residenti,arrivi totale esercizi non residenti,arrivi totale esercizi totale,arrivi esercizi alberghieri residenti,arrivi esercizi alberghieri non residenti,arrivi esercizi alberghieri totale,arrivi esercizi extra-alberghieri residenti,arrivi esercizi extra-alberghieri non residenti,arrivi esercizi extra-alberghieri totale,presenze totale esercizi residenti,presenze totale esercizi non residenti,presenze totale esercizi totale,presenze esercizi alberghieri residenti,presenze esercizi alberghieri non residenti,presenze esercizi alberghieri totale,presenze esercizi extra-alberghieri residenti,presenze esercizi extra-alberghieri non residenti,presenze esercizi extra-alberghieri totale
010,PIEMONTE,001,TORINO,Alpignano,001008,,4859,1108,5967,,,,,,,9124,2583,11707,,,,,,
010,PIEMONTE,001,TORINO,Avigliana,001013,,46337,3126,49463,21972,2409,24381,24365,717,25082,124552,6888,131440,57666,4567,62233,66886,2321,69207
010,PIEMONTE,001,TORINO,Baldissero Canavese,001017,,94,971,1065,,,,,,,179,3700,3879,,,,,,
010,PIEMONTE,001,TORINO,Bardonecchia,001022,,46622,14738,61360,37257,14069,51326,9365,669,10034,175120,63313,238433,136460,60571,197031,38660,2742,41402
010,PIEMONTE,001,TORINO,Borgaro Torinese,001028,,23967,4873,28840,,,,,,,48495,8408,56903,,,,,,
010,PIEMONTE,001,TORINO,Candia Canavese,001050,,1124,526,1650,,,,,,,1765,917,2682,,,,,,
010,PIEMONTE,001,TORINO,Carmagnola,001059,,5225,1735,6960,4162,972,5134,1063,763,1826,12323,4234,16557,8938,2075,11013,3385,2159,5544
010,PIEMONTE,001,TORINO,Caselle Torinese,001063,,7363,4544,11907,7075,4457,11532,288,87,375,16473,7316,23789,15638,6872,22510,835,444,1279
010,PIEMONTE,001,TORINO,Castellamonte,001066,,1064,68,1132,,,,,,,2970,157,3127,,,,,,
010,PIEMONTE,001,TORINO,Cavour,001070,,270,10,280,,,,,,,514,18,532,,,,,,
010,PIEMONTE,001,TORINO,Ceresole Reale,001073,,7262,614,7876,3035,356,3391,4227,258,4485,18806,1474,20280,7034,642,7676,11772,832,12604
010,PIEMONTE,001,TORINO,Cesana Torinese,001074,,11996,2923,14919,8569,2850,11419,3427,73,3500,65297,12126,77423,51357,11900,63257,13940,226,14166
010,PIEMONTE,001,TORINO,Chialamberto,001075,,258,8,266,,,,,,,1623,22,1645,,,,,,
010,PIEMONTE,001,TORINO,Chieri,001078,,2847,62,2909,2604,0,2604,243,62,305,7113,276,7389,6136,0,6136,977,276,1253
010,PIEMONTE,001,TORINO,Chivasso,001082,,9507,1273,10780,9250,1253,10503,257,20,277,25788,4746,30534,25052,4589,29641,736,157,893
010,PIEMONTE,001,TORINO,Claviere,001087,,4108,4001,8109,1347,3887,5234,2761,114,2875,18460,22701,41161,5612,21965,27577,12848,736,13584
010,PIEMONTE,001,TORINO,Cuorgnè,001098,,1676,34,1710,,,,,,,4073,110,4183,,,,,,
010,PIEMONTE,001,TORINO,Fenestrelle,001103,,8488,473,8961,,,,,,,21907,1475,23382,,,,,,
010,PIEMONTE,001,TORINO,Gassino Torinese,001112,,285,9,294,,,,,,,602,287,889,,,,,,
010,PIEMONTE,001,TORINO,Giaveno,001115,,2016,72,2088,,,,,,,11574,105,11679,,,,,,
010,PIEMONTE,001,TORINO,Groscavallo,001118,,748,6,754,254,0,254,494,6,500,2723,6,2729,904,0,904,1819,6,1825
010,PIEMONTE,001,TORINO,Grugliasco,001120,,78555,608,79163,,,,,,,80725,1299,82024,,,,,,
010,PIEMONTE,001,TORINO,Ivrea,001125,,7747,6258,14005,5689,5039,10728,2058,1219,3277,17284,10995,28279,11574,7475,19049,5710,3520,9230
010,PIEMONTE,001,TORINO,Leini,001130,,15440,1878,17318,14177,0,14177,1263,1878,3141,33549,1900,35449,31150,0,31150,2399,1900,4299
010,PIEMONTE,001,TORINO,Luserna San Giovanni,001139,,407,9,416,,,,,,,1100,21,1121,,,,,,
010,PIEMONTE,001,TORINO,Moncalieri,001156,,42091,6021,48112,38493,4367,42860,3598,1654,5252,117592,12558,130150,101453,8790,110243,16139,3768,19907
010,PIEMONTE,001,TORINO,Nichelino,001164,,20126,1729,21855,,,,,,,59351,6951,66302,,,,,,
010,PIEMONTE,001,TORINO,,001168,,5407,0,5407,,,,,,,18743,0,18743,,,,,,
010,PIEMONTE,001,TORINO,Orbassano,001171,,5880,1221,7101,,,,,,,18911,6019,24930,,,,,,
010,PIEMONTE,001,TORINO,Oulx,001175,,23320,40098,63418,1923,1862,3785,21397,38236,59633,110517,220387,330904,5490,7734,13224,105027,212653,317680
010,PIEMONTE,001,TORINO,Pavone Canavese,001181,,3387,2258,5645,,,,,,,4056,3170,7226,,,,,,
010,PIEMONTE,001,TORINO,Pecetto Torinese,001183,,1538,627,2165,,,,,,,5270,2417,7687,,,,,,
010,PIEMONTE,001,TORINO,Perosa Argentina,001184,,341,83,424,,,,,,,1091,140,1231,,,,,,
010,PIEMONTE,001,TORINO,Pinerolo,001191,,6276,3352,9628,5190,2751,7941,1086,601,1687,22809,10032,32841,10860,5734,16594,11949,4298,16247
010,PIEMONTE,001,TORINO,Pino Torinese,001192,(a),3543,786,4329,,,,,,,8956,1823,10779,,,,,,
010,PIEMONTE,001,TORINO,Piossasco,001194,(a),1806,142,1948,,,,,,,5660,624,6284,,,,,,
010,PIEMONTE,001,TORINO,Piverone,001196,,2764,1023,3787,,,,,,,8535,2046,10581,,,,,,
010,PIEMONTE,001,TORINO,Poirino,001197,,6554,736,7290,,,,,,,16729,2295,19024,,,,,,
010,PIEMONTE,001,TORINO,Pragelato,001201,,8247,3076,11323,3751,2661,6412,4496,415,4911,70494,19101,89595,12794,17652,30446,57700,1449,59149
010,PIEMONTE,001,TORINO,Prali,001202,,3907,338,4245,,,,,,,20102,3390,23492,,,,,,
010,PIEMONTE,001,TORINO,Pralormo,001203,,3747,103,3850,,,,,,,8756,439,9195,,,,,,
010,PIEMONTE,001,TORINO,Rivarolo Canavese,001217,,8569,3144,11713,,,,,,,34195,16930,51125,,,,,,
010,PIEMONTE,001,TORINO,Rivoli,001219,,32136,2524,34660,29810,1711,31521,2326,813,3139,81906,3760,85666,67259,2383,69642,14647,1377,16024
010,PIEMONTE,001,TORINO,Rosta,001228,,5472,6,5478,,,,,,,13369,126,13495,,,,,,
010,PIEMONTE,001,TORINO,Salbertrand,001232,,936,849,1785,,,,,,,4099,2279,6378,,,,,,
010,PIEMONTE,001,TORINO,San Francesco al Campo,001240,,6139,3848,9987,,,,,,,11808,7197,19005,,,,,,
010,PIEMONTE,001,TORINO,San Maurizio Canavese,001248,,2035,269,2304,,,,,,,9941,700,10641,,,,,,
010,PIEMONTE,001,TORINO,Sauze d'Oulx,001259,,12156,15328,27484,10638,13957,24595,1518,1371,2889,40990,86707,127697,34022,77975,111997,6968,8732,15700
010,PIEMONTE,001,TORINO,Sestriere,001263,,28783,60698,89481,27283,59525,86808,1500,1173,2673,110231,275337,385568,103170,270845,374015,7061,4492,11553
010,PIEMONTE,001,TORINO,Settimo Torinese,001265,,7821,486,8307,7580,406,7986,241,80,321,22683,7478,30161,15980,692,16672,6703,6786,13489
010,PIEMONTE,001,TORINO,Settimo Vittone,001266,,1421,1970,3391,877,875,1752,544,1095,1639,3207,3360,6567,1634,1276,2910,1573,2084,3657
010,PIEMONTE,001,TORINO,Susa,001270,,5301,5055,10356,3122,4757,7879,2179,298,2477,22433,6413,28846,12256,6029,18285,10177,384,10561
010,PIEMONTE,001,TORINO,Torino,001272,,810422,420680,1231102,732282,397490,1129772,78140,23190,101330,2320368,1134501,3454869,1686031,942671,2628702,634337,191830,826167
010,PIEMONTE,001,TORINO,Torre Pellice,001275,,7258,1544,8802,,,,,,,34274,5446,39720,,,,,,
010,PIEMONTE,001,TORINO,Traversella,001278,,407,445,852,,,,,,,1338,1337,2675,,,,,,
010,PIEMONTE,001,TORINO,Usseglio,001282,,2401,564,2965,541,157,698,1860,407,2267,5969,658,6627,1545,209,1754,4424,449,4873
010,PIEMONTE,001,TORINO,Val della Torre,001284,(a),4935,7,4942,,,,,,,12045,22,12067,,,,,,
010,PIEMONTE,001,TORINO,Venaria Reale,001292,,11181,2119,13300,9380,1696,11076,1801,423,2224,19560,5746,25306,16182,2906,19088,3378,2840,6218
010,PIEMONTE,001,TORINO,Vigone,001299,,673,73,746,,,,,,,5206,427,5633,,,,,,
010,PIEMONTE,001,TORINO,Villar Pellice,001306,,8948,728,9676,,,,,,,39260,6150,45410,,,,,,
010,PIEMONTE,001,TORINO,Vinovo,001309,,455,33,488,,,,,,,1476,306,1782,,,,,,
010,PIEMONTE,001,TORINO,Viù,001313,,1514,75,1589,,,,,,,7492,141,7633,,,,,,
010,PIEMONTE,001,TORINO,Volpiano,001314,,8477,571,9048,,,,,,,19460,1528,20988,,,,,,
010,PIEMONTE,001,TORINO,Altri comuni della Provincia di TORINO, ,,203760,22493,226253,,,,,,,568802,70929,639731,,,,,,
010,PIEMONTE,001,TORINO,, ,,1598399,655029,2253428,1348875,564387,1913262,249524,90642,340166,4589823,2083947,6673770,3202892,1557614,4760506,1386931,526333,1913264
010,PIEMONTE,002,VERCELLI,Alagna Valsesia,002002,,7126,7019,14145,1695,2056,3751,5431,4963,10394,17463,21015,38478,4812,7648,12460,12651,13367,26018
010,PIEMONTE,002,VERCELLI,Campertogno,002025,,885,342,1227,,,,,,,2327,1933,4260,,,,,,
010,PIEMONTE,002,VERCELLI,Carisio,002032,,9428,2557,11985,,,,,,,20462,5405,25867,,,,,,
010,PIEMONTE,002,VERCELLI,Cigliano,002042,,891,201,1092,,,,,,,2120,317,2437,,,,,,
010,PIEMONTE,002,VERCELLI,Cravagliana,002048,,578,35,613,,,,,,,986,127,1113,,,,,,
010,PIEMONTE,002,VERCELLI,Crescentino,002049,,1549,239,1788,,,,,,,4458,501,4959,,,,,,
010,PIEMONTE,002,VERCELLI,Fobello,002057,,1052,157,1209,,,,,,,4941,157,5098,,,,,,
010,PIEMONTE,002,VERCELLI,Quarona,002107,,650,412,1062,,,,,,,1218,719,1937,,,,,,
010,PIEMONTE,002,VERCELLI,Rimasco,002112,,309,10,319,,,,,,,1273,56,1329,,,,,,
010,PIEMONTE,002,VERCELLI,Rimella,002113,,101,374,475,,,,,,,143,782,925,,,,,,
010,PIEMONTE,002,VERCELLI,Riva Valdobbia,002114,,4200,2547,6747,,,,,,,13518,9976,23494,,,,,,
010,PIEMONTE,002,VERCELLI,Santhià,002133,,1191,217,1408,931,196,1127,260,21,281,4803,652,5455,3273,629,3902,1530,23,1553
010,PIEMONTE,002,VERCELLI,Scopello,002135,,4223,303,4526,2877,273,3150,1346,30,1376,16282,993,17275,7856,911,8767,8426,82,8508
010,PIEMONTE,002,VERCELLI,Varallo,002156,,5422,1687,7109,2824,1473,4297,2598,214,2812,23654,3760,27414,5616,3260,8876,18038,500,18538
010,PIEMONTE,002,VERCELLI,Vercelli,002158,,20092,6926,27018,18712,6315,25027,1380,611,1991,83371,19077,102448,41508,15468,56976,41863,3609,45472
010,PIEMONTE,002,VERCELLI,Altri comuni della Provincia di VERCELLI, ,,10577,3457,14034,,,,,,,33827,12924,46751,,,,,,
010,PIEMONTE,002,VERCELLI,, ,,68274,26483,94757,46135,15831,61966,22139,10652,32791,230846,78394,309240,109996,41947,151943,120850,36447,157297
010,PIEMONTE,003,NOVARA,Agrate Conturbia,003001,,329,1091,1420,,,,,,,487,3086,3573,,,,,,
010,PIEMONTE,003,NOVARA,Ameno,003002,,2952,3327,6279,2136,2333,4469,816,994,1810,5854,11096,16950,3080,7461,10541,2774,3635,6409
010,PIEMONTE,003,NOVARA,Armeno,003006,,1975,2911,4886,824,2562,3386,1151,349,1500,6284,7963,14247,1531,7112,8643,4753,851,5604
010,PIEMONTE,003,NOVARA,Arona,003008,,12649,19685,32334,11834,18855,30689,815,830,1645,29921,47616,77537,22785,45853,68638,7136,1763,8899
010,PIEMONTE,003,NOVARA,Bogogno,003021,,651,2821,3472,,,,,,,1167,8855,10022,,,,,,
010,PIEMONTE,003,NOVARA,Borgomanero,003024,,3609,1316,4925,3417,1260,4677,192,56,248,7434,2448,9882,6425,2277,8702,1009,171,1180
010,PIEMONTE,003,NOVARA,Cameri,003032,,18058,3591,21649,,,,,,,20325,4884,25209,,,,,,
010,PIEMONTE,003,NOVARA,Casalino,003040,,33677,4829,38506,,,,,,,36132,5516,41648,,,,,,
010,PIEMONTE,003,NOVARA,Castelletto sopra Ticino,003043,,28908,9126,38034,22951,6386,29337,5957,2740,8697,53716,31974,85690,29052,19280,48332,24664,12694,37358
010,PIEMONTE,003,NOVARA,Dormelletto,003062,,25441,20104,45545,6625,3774,10399,18816,16330,35146,88245,92694,180939,11989,7594,19583,76256,85100,161356
