regioni,cod. reg.,province,cod. prov.,comuni,codice comune,cod istat,5 stelle numero,5 stelle letti,5 stelle camere,5 stelle bagni,4 stelle numero,4 stelle letti,4 stelle camere,4 stelle bagni,3 stelle numero,3 stelle letti,3 stelle camere,3 stelle bagni,2 stelle numero,2 stelle letti,2 stelle camere,2 stelle bagni,1 stelle numero,1 stelle letti,1 stelle camere,1 stelle bagni,residenze turistico alberghiere numero,residenze turistico alberghiere letti,residenze turistico alberghiere camere,residenze turistico alberghiere bagni,totale alberghi numero,totale alberghi letti,totale alberghi camere,totale alberghi bagni,campeggi e villaggi turistici numero,campeggi e villaggi turistici letti,alloggi in affitto numero,alloggi in affitto letti,agriturismi numero,agriturismi letti,ostelli per la gioventù numero,ostelli per la gioventù letti,case per ferie numero,case per ferie letti,rifugi alpini numero,rifugi alpini letti,altri esercizi ricettivi numero,altri esercizi ricettivi letti,bed & breakfast numero,bed & breakfast letti,totale esercizi extra-alberghieri numero,totale esercizi extra-alberghieri letti,totale esercizi ricettivi numero,totale esercizi ricettivi letti
PIEMONTE,010,TORINO,001,Aglie,001,001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,4,24,6,49,6,49
PIEMONTE,010,TORINO,001,Airasca,002,001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,6
PIEMONTE,010,TORINO,001,Ala di Stura,003,001003,0,0,0,0,0,0,0,0,2,82,43,43,1,35,19,19,0,0,0,0,0,0,0,0,3,117,62,62,0,0,0,0,1,18,0,0,1,50,0,0,0,0,1,6,3,74,6,191
PIEMONTE,010,TORINO,001,Albiano d'Ivrea,004,001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,10,0,0,1,24,0,0,0,0,1,4,4,57,4,57
PIEMONTE,010,TORINO,001,Alice Superiore,005,001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,158,0,0,1,7,0,0,0,0,0,0,0,0,1,3,3,168,3,168
PIEMONTE,010,TORINO,001,Almese,006,001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,1,3,2,17,2,17
PIEMONTE,010,TORINO,001,Alpette,007,001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,24,0,0,0,0,0,0,2,34,2,34
PIEMONTE,010,TORINO,001,Alpignano,008,001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,1,30,0,0,0,0,3,15,5,69,5,69
PIEMONTE,010,TORINO,001,Andezeno,009,001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5
PIEMONTE,010,TORINO,001,Andrate,010,001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,12,0,0,0,0,0,0,2,18,2,18
PIEMONTE,010,TORINO,001,Angrogna,011,001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,4,0,0,1,55,2,37,0,0,0,0,5,108,5,108
PIEMONTE,010,TORINO,001,Arignano,012,001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,14,3,14
PIEMONTE,010,TORINO,001,Avigliana,013,001013,0,0,0,0,1,190,76,76,5,157,80,80,2,38,21,17,0,0,0,0,0,0,0,0,8,385,177,173,2,480,1,7,0,0,0,0,2,100,0,0,0,0,7,26,12,613,20,998
PIEMONTE,010,TORINO,001,Azeglio,014,001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2
