"regione","iscritti","anno","media annuale prezzi bologna"
"FRIULI VENEZIA GIULIA",691,2021,13.91
"LAZIO",1261,2021,13.91
"LIGURIA",449,2021,13.91
"LOMBARDIA",2587,2021,13.91
"MARCHE",4684,2021,13.91
"MOLISE",590,2021,13.91
"PIEMONTE",645,2021,13.91
"PUGLIA",3526,2021,13.91
"SARDEGNA",836,2021,13.91
"SICILIA",2742,2021,13.91
"TOSCANA",3087,2021,13.91
"TRENTINO ALTO ADIGE",1005,2021,13.91
"UMBRIA",875,2021,13.91
"VALLE D'AOSTA",64,2021,13.91
"VENETO",3722,2021,13.91
"ABRUZZO",2342,2022,15.48
"BASILICATA",787,2022,15.48
"CALABRIA",1410,2022,15.48
"CAMPANIA",1819,2022,15.48
"EMILIA ROMAGNA",43698,2022,15.48
"FRIULI VENEZIA GIULIA",772,2022,15.48
"LAZIO",1363,2022,15.48
"LIGURIA",565,2022,15.48
"LOMBARDIA",2970,2022,15.48
"MARCHE",4833,2022,15.48
"MOLISE",587,2022,15.48
"PIEMONTE",789,2022,15.48
"PUGLIA",3523,2022,15.48
"SARDEGNA",917,2022,15.48
"SICILIA",2853,2022,15.48
"TOSCANA",3228,2022,15.48
"TRENTINO ALTO ADIGE",1085,2022,15.48
"UMBRIA",951,2022,15.48
"VALLE D'AOSTA",67,2022,15.48
"VENETO",4104,2022,15.48
"ABRUZZO",2282,2023,18.29
"BASILICATA",776,2023,18.29
"CALABRIA",1386,2023,18.29
"CAMPANIA",1826,2023,18.29
"EMILIA ROMAGNA",43652,2023,18.29
"FRIULI VENEZIA GIULIA",786,2023,18.29
"LAZIO",1379,2023,18.29
"LIGURIA",590,2023,18.29
"LOMBARDIA",2981,2023,18.29
"MARCHE",4724,2023,18.29
"MOLISE",568,2023,18.29
"PIEMONTE",789,2023,18.29
"PUGLIA",3423,2023,18.29
"SARDEGNA",902,2023,18.29
"SICILIA",2786,2023,18.29
"TOSCANA",3240,2023,18.29
"TRENTINO ALTO ADIGE",1073,2023,18.29
"UMBRIA",905,2023,18.29
"VALLE D'AOSTA",68,2023,18.29
"VENETO",3967,2023,18.29
"ABRUZZO",2148,2024,18.24
"BASILICATA",749,2024,18.24
"CALABRIA",1289,2024,18.24
"CAMPANIA",1708,2024,18.24
"EMILIA ROMAGNA",43819,2024,18.24
"FRIULI VENEZIA GIULIA",797,2024,18.24
"LAZIO",1253,2024,18.24
"LIGURIA",551,2024,18.24
"LOMBARDIA",2871,2024,18.24
"MARCHE",4580,2024,18.24
"MOLISE",512,2024,18.24
"PIEMONTE",683,2024,18.24
"PUGLIA",3181,2024,18.24
"SARDEGNA",888,2024,18.24
"SICILIA",2539,2024,18.24
"TOSCANA",3083,2024,18.24
"TRENTINO ALTO ADIGE",1073,2024,18.24
"UMBRIA",897,2024,18.24
"VALLE D'AOSTA",58,2024,18.24
"VENETO",3790,2024,18.24
