"conteggio open data bologna","conteggio istat","anno","percentuale crescita open data bologna","percentuale crescita istat"
1404,680,"2015",18.08,13.33
1770,740,"2016",26.07,8.82
2389,1002,"2017",34.97,35.41
3109,1178,"2018",30.14,17.56
4032,1502,"2019",29.69,27.5
4136,1744,"2020",2.58,16.11
3874,1913,"2021",-6.33,9.69
4226,2002,"2022",9.09,4.65
5040,2413,"2023",19.26,20.53
5699,2858,"2024",13.08,18.44
