"anno","conteggio open data bologna","conteggio istat","percentuale crescita open data bologna","percentuale crescita istat"
"2015",1404,680,18.08,13.33
"2016",1770,740,26.07,8.82
"2017",2389,1002,34.97,35.41
"2018",3109,1178,30.14,17.56
"2019",4032,1502,29.69,27.5
"2020",4136,1744,2.58,16.11
"2021",3874,1913,-6.33,9.69
"2022",4226,2002,9.09,4.65
"2023",5040,2413,19.26,20.53
"2024",5699,2858,13.08,18.44
