cod. reg.,regione,cod. prov.,provincia,comune,cod. istat,flag,arrivi totale esercizi residenti,arrivi totale esercizi non residenti,arrivi totale esercizi totale,arrivi esercizi alberghieri residenti,arrivi esercizi alberghieri non residenti,arrivi esercizi alberghieri totale,arrivi esercizi extra-alberghieri residenti,arrivi esercizi extra-alberghieri non residenti,arrivi esercizi extra-alberghieri totale,presenze totale esercizi residenti,presenze totale esercizi non residenti,presenze totale esercizi totale,presenze esercizi alberghieri residenti,presenze esercizi alberghieri non residenti,presenze esercizi alberghieri totale,presenze esercizi extra-alberghieri residenti,presenze esercizi extra-alberghieri non residenti,presenze esercizi extra-alberghieri totale
010,PIEMONTE,001,TORINO,Ala di Stura,001003,,1818,70,1888,,,,,,,6005,165,6170,,,,,,
010,PIEMONTE,001,TORINO,Avigliana,001013,,8607,4550,13157,5519,3113,8632,3088,1437,4525,14783,8139,22922,9814,4916,14730,4969,3223,8192
010,PIEMONTE,001,TORINO,Balme,001019,,370,337,707,0,0,0,370,337,707,688,542,1230,0,0,0,688,542,1230
010,PIEMONTE,001,TORINO,Bardonecchia,001022,,67766,60145,127911,62280,58954,121234,5486,1191,6677,233429,158621,392050,213820,154454,368274,19609,4167,23776
010,PIEMONTE,001,TORINO,Bobbio Pellice,001026,,1797,202,1999,0,0,0,1797,202,1999,5542,704,6246,0,0,0,5542,704,6246
010,PIEMONTE,001,TORINO,Borgaro Torinese,001028,,10347,4234,14581,,,,,,,19304,7641,26945,,,,,,
010,PIEMONTE,001,TORINO,Borgofranco d'Ivrea,001030,,454,466,920,0,0,0,454,466,920,1452,1464,2916,0,0,0,1452,1464,2916
010,PIEMONTE,001,TORINO,Buriasco,001041,,957,356,1313,,,,,,,1368,674,2042,,,,,,
010,PIEMONTE,001,TORINO,Caluso,001047,,750,403,1153,,,,,,,1971,1557,3528,,,,,,
010,PIEMONTE,001,TORINO,Candia Canavese,001050,,1992,639,2631,,,,,,,3139,1576,4715,,,,,,
010,PIEMONTE,001,TORINO,Candiolo,001051,,8450,1220,9670,,,,,,,16687,2476,19163,,,,,,
010,PIEMONTE,001,TORINO,Cantalupa,001053,,5430,1462,6892,,,,,,,14297,4293,18590,,,,,,
010,PIEMONTE,001,TORINO,Carignano,001058,,171,17,188,,,,,,,3917,244,4161,,,,,,
010,PIEMONTE,001,TORINO,Carmagnola,001059,,4643,1562,6205,,,,,,,11203,4805,16008,,,,,,
