cod. reg.,regione,cod. prov.,provincia,comune,cod. istat,flag,arrivi totale esercizi residenti,arrivi totale esercizi non residenti,arrivi totale esercizi totale,arrivi esercizi alberghieri residenti,arrivi esercizi alberghieri non residenti,arrivi esercizi alberghieri totale,arrivi esercizi extra-alberghieri residenti,arrivi esercizi extra-alberghieri non residenti,arrivi esercizi extra-alberghieri totale,presenze totale esercizi residenti,presenze totale esercizi non residenti,presenze totale esercizi totale,presenze esercizi alberghieri residenti,presenze esercizi alberghieri non residenti,presenze esercizi alberghieri totale,presenze esercizi extra-alberghieri residenti,presenze esercizi extra-alberghieri non residenti,presenze esercizi extra-alberghieri totale
010,PIEMONTE,001,TORINO,Alpignano,001008,,3233,421,3654,,,,,,,7545,868,8413,,,,,,
010,PIEMONTE,001,TORINO,Avigliana,001013,,15624,2115,17739,10342,1444,11786,5282,671,5953,59255,5234,64489,29339,3781,33120,29916,1453,31369
010,PIEMONTE,001,TORINO,Baldissero Canavese,001017,,99,875,974,,,,,,,147,2863,3010,,,,,,
010,PIEMONTE,001,TORINO,Bardonecchia,001022,,49090,11646,60736,41352,11123,52475,7738,523,8261,181564,50464,232028,149522,48226,197748,32042,2238,34280
010,PIEMONTE,001,TORINO,Borgaro Torinese,001028,,22147,8098,30245,,,,,,,47186,24696,71882,,,,,,
010,PIEMONTE,001,TORINO,Candia Canavese,001050,,1389,527,1916,,,,,,,2105,796,2901,,,,,,
010,PIEMONTE,001,TORINO,Carmagnola,001059,,3976,1839,5815,2825,1015,3840,1151,824,1975,8566,3803,12369,5113,1755,6868,3453,2048,5501
010,PIEMONTE,001,TORINO,Caselle Torinese,001063,,7450,5196,12646,7013,5143,12156,437,53,490,16043,7267,23310,15419,7139,22558,624,128,752
010,PIEMONTE,001,TORINO,Castellamonte,001066,,1183,100,1283,,,,,,,2915,279,3194,,,,,,
010,PIEMONTE,001,TORINO,Cavour,001070,,875,185,1060,,,,,,,2243,414,2657,,,,,,
010,PIEMONTE,001,TORINO,Ceresole Reale,001073,,8043,666,8709,2860,408,3268,5183,258,5441,22365,1434,23799,7473,779,8252,14892,655,15547
010,PIEMONTE,001,TORINO,Cesana Torinese,001074,,11272,2158,13430,8117,2112,10229,3155,46,3201,49082,9146,58228,38271,9072,47343,10811,74,10885
010,PIEMONTE,001,TORINO,Chialamberto,001075,,117,2,119,,,,,,,1347,2,1349,,,,,,
010,PIEMONTE,001,TORINO,Chieri,001078,,5223,82,5305,4974,0,4974,249,82,331,10495,209,10704,9810,0,9810,685,209,894
010,PIEMONTE,001,TORINO,Chivasso,001082,,11253,2258,13511,11102,2244,13346,151,14,165,31432,9927,41359,31039,9873,40912,393,54,447
010,PIEMONTE,001,TORINO,Claviere,001087,,5994,3634,9628,3620,3190,6810,2374,444,2818,21054,17446,38500,11057,14781,25838,9997,2665,12662
010,PIEMONTE,001,TORINO,Cuorgnè,001098,,352,54,406,,,,,,,3065,291,3356,,,,,,
010,PIEMONTE,001,TORINO,Fenestrelle,001103,,7442,631,8073,,,,,,,21618,2108,23726,,,,,,
010,PIEMONTE,001,TORINO,Gassino Torinese,001112,,540,26,566,,,,,,,1279,189,1468,,,,,,
010,PIEMONTE,001,TORINO,Giaveno,001115,,3925,324,4249,,,,,,,13125,692,13817,,,,,,
010,PIEMONTE,001,TORINO,Groscavallo,001118,,623,222,845,179,207,386,444,15,459,1428,323,1751,730,291,1021,698,32,730
010,PIEMONTE,001,TORINO,Grugliasco,001120,,79849,626,80475,,,,,,,81645,1295,82940,,,,,,
010,PIEMONTE,001,TORINO,Ivrea,001125,,10728,5674,16402,8687,4502,13189,2041,1172,3213,24379,8936,33315,17447,6209,23656,6932,2727,9659
010,PIEMONTE,001,TORINO,Leini,001130,,20378,2421,22799,18951,480,19431,1427,1941,3368,47429,2853,50282,44604,763,45367,2825,2090,4915
010,PIEMONTE,001,TORINO,Luserna San Giovanni,001139,,602,32,634,,,,,,,1705,204,1909,,,,,,
010,PIEMONTE,001,TORINO,Moncalieri,001156,,52155,6052,58207,47739,4853,52592,4416,1199,5615,126161,16005,142166,111455,12806,124261,14706,3199,17905
010,PIEMONTE,001,TORINO,Nichelino,001164,,16182,3331,19513,,,,,,,48881,9791,58672,,,,,,
010,PIEMONTE,001,TORINO,,001168,,6672,189,6861,,,,,,,17716,586,18302,,,,,,
010,PIEMONTE,001,TORINO,Orbassano,001171,,7486,1710,9196,,,,,,,17312,4873,22185,,,,,,
010,PIEMONTE,001,TORINO,Oulx,001175,,87445,3072,90517,2953,1435,4388,84492,1637,86129,171237,22270,193507,8124,3823,11947,163113,18447,181560
010,PIEMONTE,001,TORINO,Pavone Canavese,001181,,3508,2723,6231,,,,,,,4093,3768,7861,,,,,,
010,PIEMONTE,001,TORINO,Pecetto Torinese,001183,,2044,1054,3098,,,,,,,3480,2668,6148,,,,,,
010,PIEMONTE,001,TORINO,Perosa Argentina,001184,,416,118,534,,,,,,,871,312,1183,,,,,,
010,PIEMONTE,001,TORINO,Pinerolo,001191,,4743,3174,7917,3695,2559,6254,1048,615,1663,18524,8622,27146,5915,4791,10706,12609,3831,16440
010,PIEMONTE,001,TORINO,Pino Torinese,001192,(a),4165,1305,5470,,,,,,,14707,5040,19747,,,,,,
