cod. reg.,regione,cod. prov.,provincia,comune,cod. istat,flag,arrivi totale esercizi residenti,arrivi totale esercizi non residenti,arrivi totale esercizi totale,arrivi esercizi alberghieri residenti,arrivi esercizi alberghieri non residenti,arrivi esercizi alberghieri totale,arrivi esercizi extra-alberghieri residenti,arrivi esercizi extra-alberghieri non residenti,arrivi esercizi extra-alberghieri totale,presenze totale esercizi residenti,presenze totale esercizi non residenti,presenze totale esercizi totale,presenze esercizi alberghieri residenti,presenze esercizi alberghieri non residenti,presenze esercizi alberghieri totale,presenze esercizi extra-alberghieri residenti,presenze esercizi extra-alberghieri non residenti,presenze esercizi extra-alberghieri totale
010,PIEMONTE,001,TORINO,Alpignano,001008,,5102,912,6014,,,,,,,9146,2039,11185,,,,,,
010,PIEMONTE,001,TORINO,Avigliana,001013,,26693,2630,29323,9686,1817,11503,17007,813,17820,64629,5934,70563,21609,3203,24812,43020,2731,45751
010,PIEMONTE,001,TORINO,Baldissero Canavese,001017,,111,749,860,,,,,,,210,2413,2623,,,,,,
010,PIEMONTE,001,TORINO,Bardonecchia,001022,,41968,13030,54998,34018,11735,45753,7950,1295,9245,166478,51960,218438,127083,45721,172804,39395,6239,45634
010,PIEMONTE,001,TORINO,Borgaro Torinese,001028,,22345,3497,25842,,,,,,,49147,6505,55652,,,,,,
010,PIEMONTE,001,TORINO,Candia Canavese,001050,,1070,465,1535,,,,,,,1823,719,2542,,,,,,
010,PIEMONTE,001,TORINO,Carmagnola,001059,,6403,1362,7765,4672,631,5303,1731,731,2462,15093,3900,18993,8960,1143,10103,6133,2757,8890
010,PIEMONTE,001,TORINO,Caselle Torinese,001063,,7724,4393,12117,7257,4393,11650,467,0,467,15129,6517,21646,13816,6517,20333,1313,0,1313
010,PIEMONTE,001,TORINO,Castellamonte,001066,,1437,90,1527,,,,,,,4572,208,4780,,,,,,
010,PIEMONTE,001,TORINO,Cavour,001070,,226,2,228,,,,,,,365,8,373,,,,,,
010,PIEMONTE,001,TORINO,Ceresole Reale,001073,,3639,602,4241,2101,412,2513,1538,190,1728,9131,1564,10695,4490,933,5423,4641,631,5272
010,PIEMONTE,001,TORINO,Cesana Torinese,001074,,22915,2376,25291,16601,2239,18840,6314,137,6451,75619,11903,87522,54530,11535,66065,21089,368,21457
010,PIEMONTE,001,TORINO,Chialamberto,001075,,121,1,122,,,,,,,1141,2,1143,,,,,,
010,PIEMONTE,001,TORINO,Chieri,001078,,3799,117,3916,3579,70,3649,220,47,267,7689,287,7976,6859,121,6980,830,166,996
010,PIEMONTE,001,TORINO,Chivasso,001082,,8429,255,8684,8257,232,8489,172,23,195,23279,2575,25854,22664,2388,25052,615,187,802
010,PIEMONTE,001,TORINO,Claviere,001087,,14932,1503,16435,13486,1303,14789,1446,200,1646,39420,8669,48089,32424,7859,40283,6996,810,7806
010,PIEMONTE,001,TORINO,Cuorgnè,001098,,4318,1876,6194,,,,,,,6935,3299,10234,,,,,,
010,PIEMONTE,001,TORINO,Fenestrelle,001103,,9409,760,10169,,,,,,,24196,2050,26246,,,,,,
010,PIEMONTE,001,TORINO,Gassino Torinese,001112,,367,8,375,,,,,,,621,1113,1734,,,,,,
010,PIEMONTE,001,TORINO,Giaveno,001115,,3197,584,3781,,,,,,,13217,1961,15178,,,,,,
010,PIEMONTE,001,TORINO,Groscavallo,001118,,441,87,528,98,87,185,343,0,343,1936,95,2031,189,95,284,1747,0,1747
010,PIEMONTE,001,TORINO,Grugliasco,001120,,74699,640,75339,,,,,,,77019,1452,78471,,,,,,
010,PIEMONTE,001,TORINO,Ivrea,001125,,9222,5946,15168,7061,4564,11625,2161,1382,3543,15909,8827,24736,12088,6262,18350,3821,2565,6386
010,PIEMONTE,001,TORINO,Leini,001130,,6721,3753,10474,5560,1684,7244,1161,2069,3230,14621,5119,19740,12547,2940,15487,2074,2179,4253
010,PIEMONTE,001,TORINO,Luserna San Giovanni,001139,,393,8,401,,,,,,,900,16,916,,,,,,
010,PIEMONTE,001,TORINO,Moncalieri,001156,,43102,2915,46017,40649,1782,42431,2453,1133,3586,109010,8610,117620,96759,4275,101034,12251,4335,16586
010,PIEMONTE,001,TORINO,Nichelino,001164,,11839,5541,17380,,,,,,,37541,14045,51586,,,,,,
