AREA;SOTTOAREA;STATO;QUARTIERE;ZONA;CENTRO_STORICO;SETTORE;BOTTEGA_STORICA;LATITUDINE;LONGITUDINE;DATA_INIZIO_ATTIVITA;DATA_CESSAZIONE_ATTIVITA;TIPOLOGIA_ESERCIZIO;ESERCIZIO_VIA;CIVICO;AREA STATISTICA;ATTIVITA_PREVALENTE_ESERCIZIO;ATTIVITA_SECONDARIA_ESERCIZIO;INSERITO_IN_CENTRO_COMMERCALE;geopoint
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Savena;S. Ruffillo;;;;44.45471538;11.36778668;2012-12-10;;Casa Per Ferie;VIA TOSCANA;174;VIA TOSCANA;;;;44.45471538, 11.36778668
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49295361;11.35636582;2018-09-19;;Appartamento Ammobiliato Per Uso Turistico;VIA TORLEONE;45;IRNERIO-2;;;;44.49295361, 11.35636582
Attività ricettive;Altre tipologie ricettive;Attivo;San Donato - San Vitale;San Donato;;;;44.50459985;11.36589689;2018-09-18;;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA TOMMASO SALVINI;8 Int. 9;VIA DEL LAVORO;;;;44.50459985, 11.36589689
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.49420086;11.35311379;2018-09-27;2019-02-08;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA S.VITALE;74;IRNERIO-2;;;;44.49420086, 11.35311379
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.49420086;11.35311379;2019-06-04;2020-08-13;Case E Appartamenti Per Vacanze;VIA S.VITALE;74 Int. 2;IRNERIO-2;;;;44.49420086, 11.35311379
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Navile;Corticella;;;;44.54762625;11.35302122;2018-07-04;2022-11-03;Case E Appartamenti Per Vacanze;VIA S.SAVINO;24 Int. 3;SAN SAVINO;;;;44.54762625, 11.35302122
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49850861;11.34043499;2002-09-06;2006-07-26;Affittacamere;VIA S.MARIA MAGGIORE;7/A Int. 5;MARCONI-1;;AFFITTACAMERE;;44.49850861, 11.34043499
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Santo Stefano;Colli;;;;44.48048814;11.33658156;1989-12-01;1990-07-30;non definita;VIA S.MAMOLO;67;OSSERVANZA;;ALBERGHI E PENSIONI;;44.48048814, 11.33658156
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Santo Stefano;Colli;;;;44.48428486;11.33912241;1989-09-05;1998-12-31;Affittacamere;VIA S.MAMOLO;39 Int. 1;OSSERVANZA;;AFFITTACAMERE;;44.48428486, 11.33912241
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Colli;;;;44.48474483;11.33900196;2019-06-21;;Appartamento Ammobiliato Per Uso Turistico;VIA S.MAMOLO;35;OSSERVANZA;;;;44.48474483, 11.33900196
