AREA;SOTTOAREA;STATO;QUARTIERE;ZONA;CENTRO_STORICO;SETTORE;BOTTEGA_STORICA;LATITUDINE;LONGITUDINE;DATA_INIZIO_ATTIVITA;DATA_CESSAZIONE_ATTIVITA;TIPOLOGIA_ESERCIZIO;ESERCIZIO_VIA;CIVICO;AREA STATISTICA;ATTIVITA_PREVALENTE_ESERCIZIO;ATTIVITA_SECONDARIA_ESERCIZIO;INSERITO_IN_CENTRO_COMMERCALE;geopoint
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Malpighi;(centro storico);;;44.49530255;11.33414246;2020-02-17;2020-06-15;non definita;VIA DEL PRATELLO;24 Int. 1/2;MALPIGHI-2;;;;44.49530255, 11.33414246
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49899442;11.34268283;2014-11-07;2017-12-29;Case E Appartamenti Per Vacanze;VIA DE' FALEGNAMI;16 Int. 2;MARCONI-1;;;;44.49899442, 11.34268283
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Bolognina;;;;44.50736631;11.34342955;2022-07-20;2022-09-10;Appartamento Ammobiliato Per Uso Turistico;VIA DE' CARRACCI;19 Int. 8;PIAZZA DELL'UNITA';;;;44.50736631, 11.34342955
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Galvani;(centro storico);;;44.48685458;11.35160552;2020-02-14;;Case E Appartamenti Per Vacanze;VIA DE' BUTTIERI;7/3 Int. 4;GALVANI-2;;;;44.48685458, 11.35160552
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Navile;Bolognina;;;;44.51777815;11.34116806;2016-04-23;;non definita;VIA DANIELE MANIN;1/n Int. 6;ARCOVEGGIO;;;;44.51777815, 11.34116806
Attività ricettive;Altre tipologie ricettive;Attivo;Porto - Saragozza;Malpighi;(centro storico);;;44.49116018;11.33954734;2019-08-05;;Appartamento Ammobiliato Per Uso Turistico;VIA COLLEGIO DI SPAGNA;5;MALPIGHI-2;;;;44.49116018, 11.33954734
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Murri;;;;44.48590702;11.36264506;2002-02-05;2005-02-09;Bed & Breakfast;VIA CLOTILDE TAMBRONI;12 Int. 6;MEZZOFANTI;;BED AND BREAKFAST;;44.48590702, 11.36264506
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.49653946;11.34466393;2018-04-01;2018-06-11;Appartamento Ammobiliato Per Uso Turistico;VIA CARBONARA;5;IRNERIO-1;;;;44.49653946, 11.34466393
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Malpighi;(centro storico);;;44.48925457;11.33689463;2018-10-18;2019-03-13;Appartamento Ammobiliato Per Uso Turistico;VIA CAPRAMOZZA;11/2;MALPIGHI-2;;;;44.48925457, 11.33689463
Attività ricettive;Altre tipologie ricettive;Attivo;Porto - Saragozza;Marconi;(centro storico);;;44.50139254;11.34263126;2016-10-13;;Appartamento Ammobiliato Per Uso Turistico;VIA DEI MILLE;12 Int. 7;MARCONI-2;;;;44.50139254, 11.34263126
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.50135191;11.34291769;2020-04-27;2020-06-18;Affittacamere;VIA DEI MILLE;10 Int. 5;MARCONI-2;;;;44.50135191, 11.34291769
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Colli;;;;44.47732101;11.34818619;2014-09-22;2015-10-05;Appartamento Ammobiliato Per Uso Turistico;VIA DEGLI SCALINI;5/6;SAN MICHELE IN BOSCO;;;;44.47732101, 11.34818619
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Colli;;;;44.47732101;11.34818619;2013-09-11;2014-09-22;Appartamenti Ammobiliati Ad Uso Turistico;VIA DEGLI SCALINI;5/6;SAN MICHELE IN BOSCO;;;;44.47732101, 11.34818619
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49948959;11.3417305;2021-01-11;2021-10-13;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA AVESELLA;4;MARCONI-2;;;;44.49948959, 11.3417305
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Savena;Mazzini;;;;44.47409227;11.38801538;2018-01-01;2020-06-07;Affittacamere;VIA ARNO;25 Int. 3;BITONE;;;;44.47409227, 11.38801538
Attività ricettive;Altre tipologie ricettive;Attivo;Navile;Bolognina;;;;44.51652426;11.35038993;2018-07-30;;Appartamento Ammobiliato Per Uso Turistico;VIA ALFONSO LOMBARDI;28 Int. 6;VIA FERRARESE;;;;44.51652426, 11.35038993
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Bolognina;;;;44.50833114;11.34452127;2012-03-01;2013-12-13;Bed & Breakfast;VIA ALESSANDRO TIARINI;6 Int. 10/9;PIAZZA DELL'UNITA';;;;44.50833114, 11.34452127
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Porto - Saragozza;Marconi;(centro storico);;;44.50461437;11.34145352;2019-09-23;;Affittacamere;VIA CESARE BOLDRINI;5/2 Int. 16;MARCONI-2;;;;44.50461437, 11.34145352
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Malpighi;(centro storico);;;44.49346475;11.33833305;2019-03-26;2021-01-14;Appartamento Ammobiliato Per Uso Turistico;VIA CESARE BATTISTI;23 Int. 25;MALPIGHI-1;;;;44.49346475, 11.33833305
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.49068101;11.3554613;2017-02-06;2020-03-04;Case E Appartamenti Per Vacanze;STRADA MAGGIORE;59 Int. 9;GALVANI-2;;;;44.49068101, 11.3554613
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Malpighi;(centro storico);;;44.49340272;11.34093604;2005-04-19;2007-06-30;Affittacamere;PIAZZA GALILEO;3;MALPIGHI-1;;AFFITTACAMERE;;44.49340272, 11.34093604
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.50199131;11.35227228;1990-02-06;1991-11-25;non definita;PIAZZA DI PORTA MASCARELLA;1;IRNERIO-2;;ALBERGHI E PENSIONI;;44.50199131, 11.35227228
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;San Donato - San Vitale;S. Vitale;;;;44.50078769;11.35784546;1989-09-11;1990-07-06;Affittacamere;VIA CAMILLO RANZANI;13/3 Int. 6;CIRENAICA;;AFFITTACAMERE;;44.50078769, 11.35784546
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.49433832;11.34842904;1988-02-29;1991-12-07;non definita;VIA CALDARESE;7;IRNERIO-1;;ALBERGHI E PENSIONI;;44.49433832, 11.34842904
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.49505551;11.34423806;2020-02-11;2020-05-28;Case E Appartamenti Per Vacanze;VIA CADUTI DI CEFALONIA;5 Int. 8/4;IRNERIO-1;;;;44.49505551, 11.34423806
Attività ricettive;non definita;Attivo;;;;;;;;2021-10-29;;non definita;;;;;;;
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Galvani;(centro storico);;;44.48814698;11.3519933;2016-11-01;;Appartamento Ammobiliato Per Uso Turistico;VIA S.STEFANO;75;GALVANI-2;;;;44.48814698, 11.3519933
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.49810989;11.34498113;2022-07-20;2023-02-01;Appartamento Ammobiliato Per Uso Turistico;VIA PIELLA;6;IRNERIO-1;;;;44.49810989, 11.34498113
Attività ricettive;Altre tipologie ricettive;Attivo;Navile;Corticella;;;;44.54332483;11.35741756;2019-03-20;;Appartamento Ammobiliato Per Uso Turistico;VIA ALESSANDRO STOPPATO;22/A;SAN SAVINO;;;;44.54332483, 11.35741756
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Galvani;(centro storico);;;44.48733641;11.34717626;2023-03-23;;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA ARIENTI;15 Int. 4;GALVANI-2;;;;44.48733641, 11.34717626
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48643101;11.34692517;2019-06-27;2025-02-27;Appartamento Ammobiliato Per Uso Turistico;VIA DELL'ORO;11;GALVANI-2;;;;44.48643101, 11.34692517
Attività ricettive;Altre tipologie ricettive;Attivo;Porto - Saragozza;Marconi;(centro storico);;;44.50159421;11.33767621;2019-01-16;;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA DEL PORTO;40 Int. 15;MARCONI-2;;;;44.50159421, 11.33767621
Attività ricettive;Altre tipologie ricettive;Cessato;San Donato - San Vitale;S. Vitale;;;;44.49378887;11.35856025;2020-02-01;2025-02-25;Appartamento Ammobiliato Per Uso Turistico;VIA GIUSEPPE MASSARENTI;22 Int. 3;CIRENAICA;;;;44.49378887, 11.35856025
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49989412;11.3391076;2019-07-12;2025-01-31;Affittacamere;VIA GUGLIELMO MARCONI;49;MARCONI-2;;;;44.49989412, 11.3391076
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49833485;11.3468889;2020-09-22;;Case E Appartamenti Per Vacanze;VIA DELLE MOLINE;20 Int. 15;IRNERIO-1;;;;44.49833485, 11.3468889
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49478146;11.34461877;2020-07-09;;Case E Appartamenti Per Vacanze;VIA RIZZOLI;18 Int. 5;IRNERIO-1;;;;44.49478146, 11.34461877
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Saffi;;;;44.50075357;11.31767738;2007-09-21;2019-04-18;Appartamento Ammobiliato Per Uso Turistico;VIA GORIZIA;25;VIA VITTORIO VENETO;;;;44.50075357, 11.31767738
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.50195802;11.3444877;2024-04-09;2025-01-07;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA DELL'INDIPENDENZA;66 Int. 4;MARCONI-2;;;;44.50195802, 11.3444877
Attività ricettive;Altre tipologie ricettive;Cessato;San Donato - San Vitale;S. Vitale;;;;44.49880352;11.36274235;2024-05-01;2025-01-29;Appartamento Ammobiliato Per Uso Turistico;VIA GASTONE ROSSI;4 Int. 1;CIRENAICA;;;;44.49880352, 11.36274235
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48661062;11.34962704;2020-03-09;2024-12-17;Appartamento Ammobiliato Per Uso Turistico;VIA DEGLI ANGELI;3 Int. 10;GALVANI-2;;;;44.48661062, 11.34962704
Attività ricettive;Altre tipologie ricettive;Cessato;Borgo Panigale - Reno;Barca;;;;44.49662012;11.29055302;2017-06-01;2024-12-11;Appartamento Ammobiliato Per Uso Turistico;VIA GIACOMO BRODOLINI;6;BATTINDARNO;;;;44.49662012, 11.29055302
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49967659;11.34702459;2024-12-09;;Appartamento Ammobiliato Per Uso Turistico;VIA ANTONIO ALESSANDRINI;17 Int. 14;IRNERIO-2;;;;44.49967659, 11.34702459
Attività ricettive;Altre tipologie ricettive;Cessato;Savena;S. Ruffillo;;;;44.46095176;11.37127797;2020-04-01;2024-12-10;Appartamento Ammobiliato Per Uso Turistico;VIA GIOV.BATTISTA PERGOLESI;4 Int. 8;VIA TOSCANA;;;;44.46095176, 11.37127797
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Murri;;;;44.47787851;11.36713504;2023-12-22;2024-12-09;Appartamento Ammobiliato Per Uso Turistico;VIA LUDWIG LEJZER ZAMENHOF;2 Int. 2;CHIESANUOVA;;;;44.47787851, 11.36713504
Attività ricettive;Altre tipologie ricettive;Cessato;San Donato - San Vitale;S. Vitale;;;;44.49291079;11.36559438;2015-10-12;2017-01-09;Appartamento Ammobiliato Per Uso Turistico;VIA LIBIA;2/2;MENGOLI;;;;44.49291079, 11.36559438
Attività ricettive;Altre tipologie ricettive;Attivo;Porto - Saragozza;Malpighi;(centro storico);;;44.49023407;11.33081945;2023-03-31;;Appartamento Ammobiliato Per Uso Turistico;VIA SARAGOZZA;102 Int. 3;MALPIGHI-2;;;;44.49023407, 11.33081945
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48880503;11.35158986;2022-08-01;2024-11-11;Appartamento Ammobiliato Per Uso Turistico;VIA SANTO STEFANO;58 Sc. B Int. 1;GALVANI-2;;;;44.48880503, 11.35158986
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Santo Stefano;Irnerio;;;;44.50471033;11.34644222;2024-10-18;;Affittacamere;VIALE ANGELO MASINI;4;IRNERIO-2;;;;44.50471033, 11.34644222
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.49011889;11.35041565;2022-03-22;2024-07-05;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA GUERRAZZI;29;GALVANI-1;;;;44.49011889, 11.35041565
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Corticella;;;;44.52959584;11.3672209;2019-07-15;2019-11-16;Appartamento Ammobiliato Per Uso Turistico;VIA STALINGRADO;105;MULINO DEL GOMITO;;;;44.52959584, 11.3672209
Attività ricettive;Strutture ricettive extralberghiere;Cessato;;Bolognina;;;;44.50820736;11.34321318;2024-09-12;2024-10-13;Case E Appartamenti Per Vacanze;VIA MARIO DE MARIA;;PIAZZA DELL'UNITA';;;;44.50820736, 11.34321318
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Navile;Bolognina;;;;44.50820736;11.34321318;2024-09-09;2024-10-13;Case E Appartamenti Per Vacanze;VIA MARIO DE MARIA;5 Int. 1;PIAZZA DELL'UNITA';;;;44.50820736, 11.34321318
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Costa Saragozza;;;;44.49039946;11.32130368;2018-10-25;2024-10-02;Case E Appartamenti Per Vacanze;VIA FILIPPO TURATI;100;SAN GIUSEPPE;;;;44.49039946, 11.32130368
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Navile;Bolognina;;;;44.50820806;11.34339311;2024-09-30;;Case E Appartamenti Per Vacanze;VIA MARIO DE MARIA;7 Int. 3;PIAZZA DELL'UNITA';;;;44.50820806, 11.34339311
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Bolognina;;;;44.52122735;11.35114115;2024-09-01;2024-09-12;Appartamento Ammobiliato Per Uso Turistico;VIA FRANCESCO PRIMATICCIO;25 Int. 2;VIA FERRARESE;;;;44.52122735, 11.35114115
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Irnerio;;;;44.50202896;11.35015638;2014-12-24;;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA DEL BORGO DI S.PIETRO;92 Int. 2;IRNERIO-2;;;;44.50202896, 11.35015638
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49859551;11.35069899;2024-03-13;;Appartamento Ammobiliato Per Uso Turistico;VIA CENTOTRECENTO;12;IRNERIO-2;;;;44.49859551, 11.35069899
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Navile;Bolognina;;;;44.51407444;11.34585057;2024-08-28;2024-09-03;Case E Appartamenti Per Vacanze;VIA GIUSEPPE CRESPI;14;ARCOVEGGIO;;;;44.51407444, 11.34585057
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Navile;Bolognina;;;;44.50820806;11.34339311;2024-09-02;;Case E Appartamenti Per Vacanze;VIA MARIO DE MARIA;7 Int. 14;PIAZZA DELL'UNITA';;;;44.50820806, 11.34339311
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Costa Saragozza;;;;44.49658292;11.32087572;2024-02-07;2024-02-08;Case E Appartamenti Per Vacanze;VIA OLINDO GUERRINI;20 Int. 3;XXI APRILE;;;;44.49658292, 11.32087572
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Murri;;;;44.48343692;11.37128904;2023-05-03;2024-08-02;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA LEANDRO ALBERTI;58 Int. 6;DAGNINI;;;;44.48343692, 11.37128904
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Navile;Bolognina;;;;44.51395941;11.34920945;2023-01-21;2024-08-20;Case E Appartamenti Per Vacanze;VIA CARLO CIGNANI;25;VIA FERRARESE;;;;44.51395941, 11.34920945
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Porto - Saragozza;Marconi;(centro storico);;;44.5004459;11.3432122;2022-12-03;;Case E Appartamenti Per Vacanze;VIA GALLIERA;55 Int. 16;MARCONI-2;;;;44.5004459, 11.3432122
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.49161255;11.34670452;2024-01-25;2024-07-17;Appartamento Ammobiliato Per Uso Turistico;VIA LUIGI CARLO FARINI;24 Int. 29;GALVANI-1;;;;44.49161255, 11.34670452
Attività ricettive;Altre tipologie ricettive;Cessato;Borgo Panigale - Reno;Borgo Panigale;;;;44.50935937;11.28276539;2023-09-26;2024-07-10;Appartamento Ammobiliato Per Uso Turistico;VIA DEL FAGGIOLO;59;TRIUMVIRATO-PIETRA;;;;44.50935937, 11.28276539
Attività ricettive;Altre tipologie ricettive;Attivo;San Donato - San Vitale;S. Vitale;;;;44.49618783;11.36042447;2023-11-09;;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA LUIGINA FASOLI;9/B;CIRENAICA;;;;44.49618783, 11.36042447
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Murri;;;;44.47664273;11.37125817;2024-04-05;2024-06-20;Case E Appartamenti Per Vacanze;VIA DEGLI ORTI;29;CHIESANUOVA;;;;44.47664273, 11.37125817
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.49483737;11.35323801;2022-05-25;2024-06-25;Appartamento Ammobiliato Per Uso Turistico;VIA VINAZZETTI;6;IRNERIO-2;;;;44.49483737, 11.35323801
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.4978481;11.34325083;2023-08-03;2024-04-17;Appartamento Ammobiliato Per Uso Turistico;VIA DELL'INDIPENDENZA;24 Int. 29;MARCONI-1;;;;44.4978481, 11.34325083
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Irnerio;(centro storico);;;44.49844417;11.34400299;2024-06-07;;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA MALCONTENTI;13;IRNERIO-1;;;;44.49844417, 11.34400299
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Bolognina;;;;44.51973317;11.35255032;2024-05-17;2024-06-10;Appartamento Ammobiliato Per Uso Turistico;VIA ALFREDO CALZOLARI;39 Int. 8;VIA FERRARESE;;;;44.51973317, 11.35255032
Attività ricettive;Strutture ricettive extralberghiere;Cessato;San Donato - San Vitale;San Donato;;;;44.51665929;11.41580446;2022-12-20;2024-06-04;Affittacamere;VIA FRANCESCO FANTONI;47;CAAB;;;;44.51665929, 11.41580446
Attività ricettive;Strutture ricettive extralberghiere;Cessato;San Donato - San Vitale;S. Vitale;;;;44.49391321;11.36035449;2023-06-30;2024-06-03;Affittacamere;VIA GIOVANNA ZACCHERINI ALVISI;4 Int. 17;CIRENAICA;;;;44.49391321, 11.36035449
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48806254;11.3495921;2024-03-01;2024-06-01;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA BRAINA;5 Int. 3;GALVANI-2;;;;44.48806254, 11.3495921
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49702616;11.33947061;2019-07-03;2024-05-30;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA NAZARIO SAURO;11 Int. 4;MARCONI-1;;;;44.49702616, 11.33947061
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.49129514;11.34838216;2023-12-28;2024-01-20;Case E Appartamenti Per Vacanze;VIA LUIGI CARLO FARINI;37;GALVANI-2;;;;44.49129514, 11.34838216
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Galvani;(centro storico);;;44.49367274;11.34454905;2024-05-02;;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA PESCHERIE VECCHIE;10;GALVANI-1;;;;44.49367274, 11.34454905
Attività ricettive;Altre tipologie ricettive;Attivo;San Donato - San Vitale;San Donato;;;;44.50721101;11.35722874;2023-02-24;;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA DEL LAVORO;46 Int. 4;VIA DEL LAVORO;;;;44.50721101, 11.35722874
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Malpighi;(centro storico);;;44.49548211;11.32899655;2024-05-15;2024-05-23;Appartamento Ammobiliato Per Uso Turistico;VIA DEL PRATELLO;103 Int. 10/2;MALPIGHI-2;;;;44.49548211, 11.32899655
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Navile;Bolognina;;;;44.51973317;11.35255032;2022-10-17;2024-04-30;Case E Appartamenti Per Vacanze;VIA ALFREDO CALZOLARI;39;VIA FERRARESE;;;;44.51973317, 11.35255032
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.4880998;11.34904356;2023-06-15;2024-05-06;Appartamento Ammobiliato Per Uso Turistico;VIA RIALTO;30;GALVANI-2;;;;44.4880998, 11.34904356
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Malpighi;(centro storico);;;44.49879481;11.32819882;2024-04-08;2024-04-10;Case E Appartamenti Per Vacanze;VIA SAN FELICE;132;MALPIGHI-2;;;;44.49879481, 11.32819882
Attività ricettive;Altre tipologie ricettive;Attivo;Borgo Panigale - Reno;Barca;;;;44.49029748;11.29868016;2024-04-15;;Appartamento Ammobiliato Per Uso Turistico;VIA CLAUDIO TREVES;9 Int. 6;CANALE DI RENO;;;;44.49029748, 11.29868016
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.50430976;11.34071058;2018-05-01;2024-04-05;Appartamento Ammobiliato Per Uso Turistico;VIA GIOVANNI AMENDOLA;10 Int. 6;MARCONI-2;;;;44.50430976, 11.34071058
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.50530082;11.33938277;2016-03-01;2024-03-29;Case E Appartamenti Per Vacanze;VIALE PIETRO PIETRAMELLARA;15 Int. 2/3;MARCONI-2;;;;44.50530082, 11.33938277
Attività ricettive;Altre tipologie ricettive;Cessato;San Donato - San Vitale;S. Vitale;;;;44.49907525;11.36229247;2022-02-01;2024-02-21;Appartamento Ammobiliato Per Uso Turistico;VIA PAOLO FABBRI;87 Int. 1;CIRENAICA;;;;44.49907525, 11.36229247
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Murri;;;;44.4763271;11.36703215;2022-07-28;2024-03-21;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA AUGUSTO MURRI;120 Int. 7;CHIESANUOVA;;;;44.4763271, 11.36703215
Attività ricettive;Strutture ricettive extralberghiere;Attivo;Porto - Saragozza;Costa Saragozza;;;;44.49021872;11.32123411;2024-02-28;;Case E Appartamenti Per Vacanze;VIA FILIPPO TURATI;106 Int. 18;SAN GIUSEPPE;;;;44.49021872, 11.32123411
Attività ricettive;Altre tipologie ricettive;Cessato;Borgo Panigale - Reno;Borgo Panigale;;;;44.51334874;11.29240868;2019-04-05;2024-02-20;Appartamento Ammobiliato Per Uso Turistico;VIA DEL TRIUMVIRATO;11/3 Int. 8;TRIUMVIRATO-PIETRA;;;;44.51334874, 11.29240868
Attività ricettive;Altre tipologie ricettive;Cessato;Savena;Mazzini;;;;44.47734643;11.39696777;2017-09-05;2024-02-15;Appartamento Ammobiliato Per Uso Turistico;VIA ALBERTO DALLOLIO;27/2;DUE MADONNE;;;;44.47734643, 11.39696777
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Bolognina;;;;44.51944019;11.35716216;2018-04-05;2024-02-15;Appartamento Ammobiliato Per Uso Turistico;VIA FERRARESE;209/4;VIA FERRARESE;;;;44.51944019, 11.35716216
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.49012172;11.35234004;2017-02-15;2017-09-11;Appartamento Ammobiliato Per Uso Turistico;VIA S.PETRONIO VECCHIO;24;GALVANI-2;;;;44.49012172, 11.35234004
Attività ricettive;Altre tipologie ricettive;Attivo;Santo Stefano;Colli;;;;44.48496959;11.3368924;2024-02-15;;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA ODOFREDO;2;OSSERVANZA;;;;44.48496959, 11.3368924
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;Corticella;;;;44.52446526;11.373769;2023-10-24;2024-01-31;Appartamento Ammobiliato Per Uso Turistico;VIA ROMITA;12 Int. 2;SAVENA ABBANDONATO;;;;44.52446526, 11.373769
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.4899638;11.35065136;2019-11-19;2024-01-08;Case E Appartamenti Per Vacanze;VIA S.STEFANO;40 Int. 5;GALVANI-2;;;;44.4899638, 11.35065136
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48774987;11.34664458;2014-01-09;2014-09-30;Case E Appartamenti Per Vacanze;VIA DEL CESTELLO;10 Int. 1;GALVANI-2;;;;44.48774987, 11.34664458
Attività ricettive;Altre tipologie ricettive;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49595313;11.33772973;2021-05-20;2024-01-11;Intermediazione Da Parte Di Agenzie Immobiliari Nella Locazione Di Appartamenti Ammobiliati A Turisti;VIA S.GERVASIO;2;MARCONI-1;;;;44.49595313, 11.33772973
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Irnerio;(centro storico);;;44.49406999;11.35292695;2019-05-02;2024-01-05;Case E Appartamenti Per Vacanze;VIA SAN VITALE;49 Int. 5;IRNERIO-2;;;;44.49406999, 11.35292695
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48609351;11.35442143;2023-03-09;2023-11-28;Case E Appartamenti Per Vacanze;VIA SANTO STEFANO;132 Int. 3;GALVANI-2;;;;44.48609351, 11.35442143
Attività ricettive;Altre tipologie ricettive;Cessato;Borgo Panigale - Reno;Borgo Panigale;;;;44.52202309;11.2941572;2015-03-09;2024-01-03;Bed & Breakfast - Attività Saltuaria Di Alloggio E Prima Colazione;VIA DE LA BIRRA;11 Int. 1;LA BIRRA;;;;44.52202309, 11.2941572
